storeName,phone,address
그루밍친친,***********,서울특별시종로구홍지동90번지3호
펫마마의집,***********,서울특별시종로구평창동289번지2호
펫힐링센터,***********,서울특별시종로구부암동279번지16호
올리브동물병원,23917502,서울특별시 종로구 홍지동 126번지 8호
"사계절, 몽",***********,서울특별시 종로구 숭인동 2번지 1호 종로센트레빌
허그댕댕,***********,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신
퍼피댕 강아지양 안심분양소 애견입양 서울종로점 말티푸,***********,서울특별시 종로구 명륜2가 237번지 명륜동주상복합아남아파트
광화문동물병원,02-722-8275,서울특별시 종로구 통인동 147번지 7호 씨에스코즈빌
대학로동물병원,02-3672-8441,서울특별시 종로구 명륜2가 14번지 1호
경희궁바른동물원,02-735-9088,서울특별시 종로구 홍파동 42번지 13호 경희궁자이 2단지
아지나라,***********,서울특별시 종로구 창신동 79번지 4호
북악동물병원,02-391-4575,서울특별시 종로구 홍지동 127번지 7호
서촌도그살롱,***********,서울특별시 종로구 필운동 290번지
나나애견미용,02-765-4612,서울특별시 종로구 숭인동 61번지 106호
힐스타운 동물원,02-2237-7582,서울특별시 중구 신당동 844번지 남산타운
우댕댕 펫살롱,***********,서울특별시 중구 신당동 145번지 13호
하이몽블리,,서울특별시 중구 신당동 857번지 약수역 더시티
웰펫동물병원,02-2256-7582,서울특별시 중구 신당동 373번지 64호
메종동물병원,02-2038-7555,서울특별시 중구 신당동 102번지 6호
강아지 마법사골드맘,0507-1326-6831,서울특별시 중구 신당동 282번지 33호
마이티그루밍 수점,2232-9702,서울특별시 중구 신당동 353번지 130호
애뚜애뚜,02-2233-7943,서울특별시 중구 신당동 47번지 11호
미래지동물의료터,2233-7574,서울특별시 중구 신당동 368번지 19호
남산동물병원,2256-8275,서울특별시 중구 신당동 844번지 남산타운
